file	date	hour	id_mic	Ecosystem	Composition	Interaction	Structure	Dilution	Replicate	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Tet	Col	Pau	Eug	Daphnia	Tet_meanarea	Col_meanarea	Pau_meanarea	Eug_meanarea	Tet_major	Col_major	Pau_major	Eug_major	Tet_minor	Col_minor	Pau_minor	Eug_minor	Euglena_manual	Eug_manual_per_ul	Daphnia_large_protist	Col_presence	Pau_presence	CD	Bact_per_ul	Mean FSC-A	Mean SSC-A	Oxygen
sample_0001	2015-10-26	10	1	2	Bact	B.alone	Resource	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	36900	17740.040	28775.900	6.059
sample_0002	2015-10-26	10	2	1	Bact	B.alone	Resource	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	41020	6764.560	6658.620	8.103
sample_0003	2015-10-26	10	3	2	Tet	B.alone	Consumer	0	A	6.24	0.354545455	819.3333333	46.5530303	22.8726769	6.912605267	14.99241113	7.138820378	159.3062904	71.41167541	3.809545455	3.004926871	1.063888889	0.354545455	0	0	0	NA	81.40204472	0	0	0	22.8726769	0	0	0	14.99241113	0	0	0	0	0	NA	NA	NA	NA	36960	2903.680	2785.020	6.964
sample_0004	2015-10-26	10	4	1	Bact	B.alone	Consumer	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	31520	9315.910	12980.080	5.729
sample_0005	2015-10-26	10	5	2	Bact	C.alone	Resource	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	35640	2856.630	2624.240	5.871
sample_0006	2015-10-26	10	6	1	Col	C.alone	Resource	0	A	0.152	0.008636364	41.36363636	2.350206612	41.15311005	NA	31.79924242	NA	561.75	NA	23.46	NA	0.13	0	0.008636364	0	0	NA	0	272.1291866	0	0	0	41.15311005	0	0	0	31.79924242	0	0	0	0	NA	yes	NA	0	62160	2944.130	3175.940	4.969
sample_0007	2015-10-26	10	7	2	Tet	C.alone	Consumer	0	A	5.016	0.285	728.0909091	41.36880165	27.01373208	3.587801046	20.86321222	3.51823044	185.1663928	50.46295178	5.150769231	1.755118522	0.531538462	0.285	0	0	0	NA	120.8268807	0	0	0	27.01373208	0	0	0	20.86321222	0	0	0	0	0	NA	NA	NA	NA	37980	8545.250	10771.160	7.359
sample_0008	2015-10-26	10	8	1	Col	C.alone	Consumer	0	A	1.248	0.070909091	249.6363636	14.1838843	39.0335125	3.44942808	22.77511911	1.107277974	594.0326334	43.02099041	23.35333333	2.235046607	0.166666667	0	0.070909091	0	0	NA	0	188.3726095	0	0	0	39.0335125	0	0	0	22.77511911	0	0	0	0	NA	yes	NA	0	57900	2975.950	2943.020	5.652
sample_0009	2015-10-26	10	9	2	Bact	Facilitation	Resource	0	A	0.048	0.002727273	1.696969697	0.096418733	15.72853535	4.971174947	9.549242424	2.24274272	217.125	179.7818991	11.14	9.008540392	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	24920	6752.520	10402.960	7.116
sample_0010	2015-10-26	10	10	1	Col + Eug	Facilitation	Resource	0	A	1.064	0.060454545	122.0909091	6.936983471	27.98272516	10.21321825	14.85652622	8.293724426	205.8148611	190.7649107	6.933333333	9.323140387	1.074	0	0.005909091	0	0.053636364	NA	0	264.5687646	0	80.89879625	0	47.32488345	0	25.00555626	0	26.51252914	0	14.42796387	1	0.056818182	NA	yes	NA	0	56880	7810.980	12691.150	7.724
